Каталоги, Выручка в ценовых сегментах"
отбеливатели зубов,от 1200 до 2000
приборы для завивки ресниц,от 800 до 1100
приборы для очищения кожи,от 800 до 1400
принтеры для ногтей,от 72100 до 999999999
пылесосы маникюрные,от 1000 до 42000
сауны для лица,от 1300 до 2200
стерилизаторы косметологические,от 2000 до 4000
фрезы для маникюра,от 300 до 400
массажеры электрические,от 2000 до 8000
дарсонваль,от 1600 до 1800
крепления для массажеров,от 300 до 999999999
массажеры электрические,от 2000 до 8000
медицинские приборы,от 1000 до 2000
анализаторы крови,от 5800 до 999999999
аппараты для фототерапии,от 10800 до 11300
аппараты магнитотерапии,от 4000 до 12000
гели акушерские,от 1200 до 999999999
глюкометры,от 1500 до 2500
дозаторы шприцевые,от 200 до 999999999
ивл-аппараты,от 3500 до 7200
ингаляторы,от 1500 до 2500
катетеры медицинские,от 400 до 1000
концентраторы кислорода,от 33000 до 34000
манжеты для тонометров,от 600 до 1000
нагнетатели для тонометров,от 300 до 400
негатоскопы,от 7000 до 999999999
облучатели-рециркуляторы,от 3000 до 4000
отсасыватели хирургические,от 10300 до 11800
